1, 16, 2,634.9992
1, 16, 4,1, 16, 6,1, 16, 8,1, 16, 10,1, 16, 12,1, 16, 14,1, 16, 16,1, 16, 18,1, 16, 20,1, 16, 32,1, 16, 48,1, 16, 64,1, 32, 2,742.3631
1, 32, 4,921.5905
1, 32, 6,1060.1536
1, 32, 8,1186.4050
1, 32, 10,1324.9681
1, 32, 12,1463.5313
1, 32, 14,1602.0945
1, 32, 16,1728.3459
1, 32, 18,1866.9090
1, 32, 20,2005.4722
1, 32, 32,1, 32, 48,1, 32, 64,1, 64, 2,879.0824
1, 64, 4,1193.2950
1, 64, 6,1472.0307
1, 64, 8,1738.3832
1, 64, 10,2017.1189
1, 64, 12,2283.4713
1, 64, 14,2481.2225
1, 64, 16,2669.0627
1, 64, 18,2875.2206
1, 64, 20,3081.3786
1, 64, 32,4281.6908
1, 64, 48,5894.3189
1, 64, 64,1, 128, 2,1306.3837
1, 128, 4,1903.1300
1, 128, 6,2499.8762
1, 128, 8,2679.4809
1, 128, 10,3093.4062
1, 128, 12,3488.9423
1, 128, 14,3902.8676
1, 128, 16,4298.4036
1, 128, 18,4712.3289
1, 128, 20,5107.8650
1, 128, 32,7058.5600
1, 128, 48,9728.6809
1, 128, 64,12398.8018
1, 256, 2,2665.9648
1, 256, 4,2850.4796
1, 256, 6,3711.5991
1, 256, 8,4572.7185
1, 256, 10,5433.8379
1, 256, 12,6294.9574
1, 256, 14,6421.2968
1, 256, 16,7075.2000
1, 256, 18,7759.5045
1, 256, 20,8413.4078
1, 256, 32,12428.0310
1, 256, 48,17780.8620
1, 256, 64,22509.3702
1, 512, 2,3642.2628
1, 512, 4,5842.8913
1, 512, 6,8043.5198
1, 512, 8,7348.3200
1, 512, 10,8738.1858
1, 512, 12,10128.0517
1, 512, 14,11517.9175
1, 512, 16,12907.7833
1, 512, 18,14297.6492
1, 512, 20,15687.5150
1, 512, 32,22538.9804
1, 512, 48,32121.7825
1, 512, 64,41650.1595
2, 16, 2,1700.2170
2, 16, 4,1986.0396
2, 16, 6,2129.8889
2, 16, 8,2307.4052
2, 16, 10,2451.2546
2, 16, 12,2595.1039
2, 16, 14,2738.9533
2, 16, 16,2916.4696
2, 16, 18,3060.3189
2, 16, 20,3237.8352
2, 16, 32,4134.5983
2, 16, 48,5386.3939
2, 16, 64,6604.5227
2, 32, 2,2024.7302
2, 32, 4,2530.1826
2, 32, 6,2845.6584
2, 32, 8,3198.0515
2, 32, 10,3550.4446
2, 32, 12,3865.9204
2, 32, 14,4218.3135
2, 32, 16,4533.7893
2, 32, 18,4505.6376
2, 32, 20,4752.5218
2, 32, 32,5999.7129
2, 32, 48,7740.6726
2, 32, 64,9434.8093
2, 64, 2,2371.9579
2, 64, 4,3222.8269
2, 64, 6,3895.8698
2, 64, 8,4568.9127
2, 64, 10,5082.4476
2, 64, 12,5510.3473
2, 64, 14,5988.3204
2, 64, 16,6416.2202
2, 64, 18,6894.1933
2, 64, 20,7372.1664
2, 64, 32,10089.7851
2, 64, 48,12016.0600
2, 64, 64,14662.2127
2, 128, 2,3632.8121
2, 128, 4,5150.1374
2, 128, 6,5541.8203
2, 128, 8,6452.8672
2, 128, 10,7414.2734
2, 128, 12,8325.3203
2, 128, 14,9236.3672
2, 128, 16,10147.4141
2, 128, 18,10439.1031
2, 128, 20,11168.2362
2, 128, 32,15313.8789
2, 128, 48,20917.7877
2, 128, 64,26521.6966
2, 256, 2,7819.5158
2, 256, 4,7059.3046
2, 256, 6,9107.7299
2, 256, 8,11101.0632
2, 256, 10,11210.0520
2, 256, 12,12597.1069
2, 256, 14,13984.1618
2, 256, 16,15371.2167
2, 256, 18,16834.9429
2, 256, 20,18221.9978
2, 256, 32,26620.9984
2, 256, 48,36015.8991
2, 256, 64,45480.4959
2, 512, 2,9844.4766
2, 512, 4,15480.8672
2, 512, 6,13374.6977
2, 512, 8,16320.0470
2, 512, 10,19346.8004
2, 512, 12,22292.1496
2, 512, 14,25318.9030
2, 512, 16,28264.2522
2, 512, 18,29078.5298
2, 512, 20,31417.6007
2, 512, 32,45581.3213
2, 512, 48,64552.4791
2, 512, 64,83523.6368
